wpid,database,plung,pspleen,pliver,pheart,pkidney,ptesti,pthyroid
MINERVA Virus replication cycle,DiseaseMap,NA,NA,NA,NA,NA,NA,0.4637832278685334
WP4846,wikipathways,NA,NA,NA,NA,NA,NA,0.34637636879005845
WP2881,wikipathways,NA,0.1647077296948586,NA,NA,0.1053689252370755,NA,0.4920721323017064
WP4927,wikipathways,NA,NA,NA,NA,NA,NA,-0.47286637858213265
WP272,wikipathways,-0.1096002359866312,NA,NA,NA,-0.10886824287480398,-0.2873301050822058,-0.40918027212055336
WP4146,wikipathways,NA,NA,NA,NA,0.24373794172133761,NA,0.36444626813105335
WP4506,wikipathways,NA,NA,-0.3458747196000842,NA,NA,NA,NA
WP690,wikipathways,NA,NA,-0.31533212914161113,NA,NA,NA,NA
WP134,wikipathways,-0.1269461591062645,-0.4357937764121387,NA,NA,-0.11779293216335514,NA,-0.3581174238155248
WP4317,wikipathways,0.22270987816424753,NA,0.2416858496108668,NA,NA,NA,0.36153069798600496
WP1941,wikipathways,0.21554275592494643,0.23966777508238274,NA,NA,NA,NA,0.4511083989494529
WP5065,wikipathways,NA,NA,NA,NA,NA,NA,0.45784201142813996
MINERVA Orf10 Cul2 pathway,DiseaseMap,-0.05126903503659266,-0.3104075789344897,-0.10491613246026184,-0.2719048972114887,-0.06940682035492143,-0.1338852914002236,-0.20607242805071072
WP4860,wikipathways,NA,-0.3066729501128828,NA,NA,NA,NA,NA
