ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102465534,NA,NA,NA,NA,NA,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,102465534,NA,NA,NA,NA,NA,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
1071,P11597,CETP,NA,CETP,ENSG00000087237,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,1071,P11597,CETP,NA,CETP,ENSG00000087237,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
19,O95477,ABCA1,0.33905373570913916,ABCA1,ENSG00000165029,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,19,O95477,ABCA1,0.2840244503226455,ABCA1,ENSG00000165029,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
255738,Q8NBP7,PCSK9,0.31517235720898706,PCSK9,ENSG00000169174,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,255738,Q8NBP7,PCSK9,0.4374334437979712,PCSK9,ENSG00000169174,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
26119,Q5SW96,LDLRAP1,0.21732599022711208,LDLRAP1,ENSG00000157978,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,26119,Q5SW96,LDLRAP1,0.27063226051252026,LDLRAP1,ENSG00000157978,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
302,P07355,ANXA2,0.3962342287857999,ANXA2,ENSG00000182718,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,302,P07355,ANXA2,0.3779615702196367,ANXA2,ENSG00000182718,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
335,P02647,APOA1,0.25507944242757574,APOA1,ENSG00000118137,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,335,P02647,APOA1,0.6138418218760692,APOA1,ENSG00000118137,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
336,P02652,APOA2,0.24164607800138882,APOA2,ENSG00000158874,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,336,P02652,APOA2,0.6021468415396113,APOA2,ENSG00000158874,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
338,P04114,APOB,0.19534605834841964,APOB,ENSG00000084674,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,338,P04114,APOB,0.21266692879342336,APOB,ENSG00000084674,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
348,P02649,APOE,0.22911845532895195,APOE,ENSG00000130203,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,348,P02649,APOE,0.3273180576879235,APOE,ENSG00000130203,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
3931,P04180,LCAT,0.3378983256450362,LCAT,ENSG00000213398,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522,Homo sapiens,3931,P04180,LCAT,0.3618033589256874,LCAT,ENSG00000213398,"Metabolic pathway of LDL, HDL and TG, including diseases",WikiPathways_20210910,WP4522
