ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
10747,O00187,MASP2,NA,MASP2,ENSG00000009724,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,10747,O00187,MASP2,NA,MASP2,ENSG00000009724,Complement activation,WikiPathways_20210910,WP545
1604,P08174,CD55,0.34091979340016265,CD55,ENSG00000196352,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,1604,P08174,CD55,0.3736842129970155,CD55,ENSG00000196352,Complement activation,WikiPathways_20210910,WP545
1675,P00746,CFD,0.2766915288450397,CFD,ENSG00000197766,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,1675,P00746,CFD,0.35048061379553075,CFD,ENSG00000197766,Complement activation,WikiPathways_20210910,WP545
5199,P27918,CFP,NA,CFP,ENSG00000126759,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,5199,P27918,CFP,NA,CFP,ENSG00000126759,Complement activation,WikiPathways_20210910,WP545
5648,P48740,MASP1,NA,MASP1,ENSG00000127241,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,5648,P48740,MASP1,NA,MASP1,ENSG00000127241,Complement activation,WikiPathways_20210910,WP545
629,P00751,CFB,0.29163520708790064,CFB,ENSG00000243649,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,629,P00751,CFB,0.5117229764819805,CFB,ENSG00000243649,Complement activation,WikiPathways_20210910,WP545
712,P02745,C1QA,0.16052855385175735,C1QA,ENSG00000173372,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,712,P02745,C1QA,0.24807140091920152,C1QA,ENSG00000173372,Complement activation,WikiPathways_20210910,WP545
713,P02746,C1QB,0.2608343121723191,C1QB,ENSG00000173369,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,713,P02746,C1QB,0.32645875707122224,C1QB,ENSG00000173369,Complement activation,WikiPathways_20210910,WP545
714,P02747,C1QC,0.3461964437292096,C1QC,ENSG00000159189,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,714,P02747,C1QC,0.3941013020400446,C1QC,ENSG00000159189,Complement activation,WikiPathways_20210910,WP545
715,P00736,C1R,0.2520273296527862,C1R,ENSG00000159403,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,715,P00736,C1R,0.3674304716196109,C1R,ENSG00000159403,Complement activation,WikiPathways_20210910,WP545
716,P09871,C1S,0.22845169071439994,C1S,ENSG00000182326,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,716,P09871,C1S,0.3369797752006553,C1S,ENSG00000182326,Complement activation,WikiPathways_20210910,WP545
717,P06681,C2,0.2604530176070864,C2,ENSG00000166278,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,717,P06681,C2,0.41800281852443594,C2,ENSG00000166278,Complement activation,WikiPathways_20210910,WP545
718,P01024,C3,0.30877777366472114,C3,ENSG00000125730,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,718,P01024,C3,0.43226359025366656,C3,ENSG00000125730,Complement activation,WikiPathways_20210910,WP545
720,P0C0L4,C4A,0.27420404834695333,C4A,ENSG00000244731,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,720,P0C0L4,C4A,0.43062322403191466,C4A,ENSG00000244731,Complement activation,WikiPathways_20210910,WP545
721,P0C0L5,C4B,0.2200034261569354,C4B,ENSG00000224389,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,721,P0C0L5,C4B,0.37748838337613266,C4B,ENSG00000224389,Complement activation,WikiPathways_20210910,WP545
727,P01031,C5,0.2663728312246033,C5,ENSG00000106804,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,727,P01031,C5,0.3635367708726641,C5,ENSG00000106804,Complement activation,WikiPathways_20210910,WP545
729,P13671,C6,0.23527587668705244,C6,ENSG00000039537,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,729,P13671,C6,0.3924507246560325,C6,ENSG00000039537,Complement activation,WikiPathways_20210910,WP545
730,P10643,C7,0.2962701975267966,C7,ENSG00000112936,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,730,P10643,C7,0.38374357583531316,C7,ENSG00000112936,Complement activation,WikiPathways_20210910,WP545
731,P07357,C8A,0.26021453839517267,C8A,ENSG00000157131,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,731,P07357,C8A,0.35433897678808113,C8A,ENSG00000157131,Complement activation,WikiPathways_20210910,WP545
732,P07358,C8B,0.31264272488340494,C8B,ENSG00000021852,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,732,P07358,C8B,0.4234097277330934,C8B,ENSG00000021852,Complement activation,WikiPathways_20210910,WP545
733,P07360,C8G,0.24496946013619764,C8G,ENSG00000176919,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,733,P07360,C8G,0.3432904023534331,C8G,ENSG00000176919,Complement activation,WikiPathways_20210910,WP545
735,P02748,C9,0.266936911159173,C9,ENSG00000113600,Complement activation,WikiPathways_20210910,WP545,Homo sapiens,735,P02748,C9,0.4127628522750792,C9,ENSG00000113600,Complement activation,WikiPathways_20210910,WP545
