ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
5624,P04070,PROC,0.26278320985076375,PROC,ENSG00000115718,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,5624,P04070,PROC,0.3678030327490068,PROC,ENSG00000115718,Complement and coagulation cascades,WikiPathways_20210910,WP558
5627,P07225,PROS1,0.24368280735719342,PROS1,ENSG00000184500,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,5627,P07225,PROS1,0.300899687772249,PROS1,ENSG00000184500,Complement and coagulation cascades,WikiPathways_20210910,WP558
5648,P48740,MASP1,NA,MASP1,ENSG00000127241,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,5648,P48740,MASP1,NA,MASP1,ENSG00000127241,Complement and coagulation cascades,WikiPathways_20210910,WP558
623,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,623,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558
629,P00751,CFB,0.29163520708790064,CFB,ENSG00000243649,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,629,P00751,CFB,0.5117229764819805,CFB,ENSG00000243649,Complement and coagulation cascades,WikiPathways_20210910,WP558
7035,P10646,TFPI,NA,TFPI,ENSG00000003436,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,7035,P10646,TFPI,NA,TFPI,ENSG00000003436,Complement and coagulation cascades,WikiPathways_20210910,WP558
7056,P07204,THBD,0.4378456533908302,THBD,ENSG00000178726,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,7056,P07204,THBD,0.4159744113765659,THBD,ENSG00000178726,Complement and coagulation cascades,WikiPathways_20210910,WP558
710,P05155,SERPING1,0.23628527744802844,SERPING1,ENSG00000149131,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,710,P05155,SERPING1,0.3362595520141933,SERPING1,ENSG00000149131,Complement and coagulation cascades,WikiPathways_20210910,WP558
712,P02745,C1QA,0.16052855385175735,C1QA,ENSG00000173372,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,712,P02745,C1QA,0.24807140091920152,C1QA,ENSG00000173372,Complement and coagulation cascades,WikiPathways_20210910,WP558
713,P02746,C1QB,0.2608343121723191,C1QB,ENSG00000173369,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,713,P02746,C1QB,0.32645875707122224,C1QB,ENSG00000173369,Complement and coagulation cascades,WikiPathways_20210910,WP558
714,P02747,C1QC,0.3461964437292096,C1QC,ENSG00000159189,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,714,P02747,C1QC,0.3941013020400446,C1QC,ENSG00000159189,Complement and coagulation cascades,WikiPathways_20210910,WP558
715,P00736,C1R,0.2520273296527862,C1R,ENSG00000159403,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,715,P00736,C1R,0.3674304716196109,C1R,ENSG00000159403,Complement and coagulation cascades,WikiPathways_20210910,WP558
716,P09871,C1S,0.22845169071439994,C1S,ENSG00000182326,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,716,P09871,C1S,0.3369797752006553,C1S,ENSG00000182326,Complement and coagulation cascades,WikiPathways_20210910,WP558
717,P06681,C2,0.2604530176070864,C2,ENSG00000166278,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,717,P06681,C2,0.41800281852443594,C2,ENSG00000166278,Complement and coagulation cascades,WikiPathways_20210910,WP558
718,P01024,C3,0.30877777366472114,C3,ENSG00000125730,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,718,P01024,C3,0.43226359025366656,C3,ENSG00000125730,Complement and coagulation cascades,WikiPathways_20210910,WP558
719,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,719,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558
721,P0C0L5,C4B,0.2200034261569354,C4B,ENSG00000224389,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,721,P0C0L5,C4B,0.37748838337613266,C4B,ENSG00000224389,Complement and coagulation cascades,WikiPathways_20210910,WP558
728,P21730,C5AR1,NA,C5AR1,ENSG00000197405,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,728,P21730,C5AR1,NA,C5AR1,ENSG00000197405,Complement and coagulation cascades,WikiPathways_20210910,WP558
729,P13671,C6,0.23527587668705244,C6,ENSG00000039537,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,729,P13671,C6,0.3924507246560325,C6,ENSG00000039537,Complement and coagulation cascades,WikiPathways_20210910,WP558
730,P10643,C7,0.2962701975267966,C7,ENSG00000112936,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,730,P10643,C7,0.38374357583531316,C7,ENSG00000112936,Complement and coagulation cascades,WikiPathways_20210910,WP558
733,P07360,C8G,0.24496946013619764,C8G,ENSG00000176919,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,733,P07360,C8G,0.3432904023534331,C8G,ENSG00000176919,Complement and coagulation cascades,WikiPathways_20210910,WP558
735,P02748,C9,0.266936911159173,C9,ENSG00000113600,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,735,P02748,C9,0.4127628522750792,C9,ENSG00000113600,Complement and coagulation cascades,WikiPathways_20210910,WP558
7450,P04275,VWF,0.23426412437878927,VWF,ENSG00000110799,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,7450,P04275,VWF,0.33469495886715817,VWF,ENSG00000110799,Complement and coagulation cascades,WikiPathways_20210910,WP558
