ENTREZID,Uniprot.ID,Gene.name,spleen,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,spleen.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
100422832,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,100422832,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
1026,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,1026,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
1029,P42771,CDKN2A,NA,CDKN2A,ENSG00000147889,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,1029,P42771,CDKN2A,0.6601537141484545,CDKN2A,ENSG00000147889,TP53 network,WikiPathways_20210910,WP1742
1647,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,1647,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
25,P00519,ABL1,0.4237179908035277,ABL1,ENSG00000097007,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,25,P00519,ABL1,0.4144590856467807,ABL1,ENSG00000097007,TP53 network,WikiPathways_20210910,WP1742
27113,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,27113,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
4193,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,4193,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
4609,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,4609,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
472,Q13315,ATM,0.4347848705064129,ATM,ENSG00000149311,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,472,Q13315,ATM,0.4733409641859354,ATM,ENSG00000149311,TP53 network,WikiPathways_20210910,WP1742
5015,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,5015,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
5366,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,5366,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
581,Q07812,BAX,0.3941013020400446,BAX,ENSG00000087088,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,581,Q07812,BAX,0.5164314858612724,BAX,ENSG00000087088,TP53 network,WikiPathways_20210910,WP1742
596,P10415,BCL2,NA,BCL2,ENSG00000171791,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,596,P10415,BCL2,NA,BCL2,ENSG00000171791,TP53 network,WikiPathways_20210910,WP1742
637,P55957,BID,0.3667414878229653,BID,ENSG00000015475,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,637,P55957,BID,0.5880647480082063,BID,ENSG00000015475,TP53 network,WikiPathways_20210910,WP1742
666,Q9UMX3,BOK,0.28231994241403513,BOK,ENSG00000176720,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,666,Q9UMX3,BOK,0.2601191100313734,BOK,ENSG00000176720,TP53 network,WikiPathways_20210910,WP1742
7157,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,7157,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
7161,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,7161,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
7341,P63165,SUMO1,0.32313072105354007,SUMO1,ENSG00000116030,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,7341,P63165,SUMO1,0.34398501944837684,SUMO1,ENSG00000116030,TP53 network,WikiPathways_20210910,WP1742
8626,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,8626,NA,NA,NA,NA,NA,TP53 network,WikiPathways_20210910,WP1742
8743,P50591,TNFSF10,0.3808140099997666,TNFSF10,ENSG00000121858,TP53 network,WikiPathways_20210910,WP1742,Homo sapiens,8743,P50591,TNFSF10,0.5280807144913133,TNFSF10,ENSG00000121858,TP53 network,WikiPathways_20210910,WP1742
