ENTREZID,Uniprot.ID,Gene.name,spleen,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,spleen.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102464826,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,102464826,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
10683,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,10683,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
182,P78504,JAG1,NA,JAG1,ENSG00000101384,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,182,P78504,JAG1,NA,JAG1,ENSG00000101384,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
1902,Q92633,LPAR1,0.4711881308663969,LPAR1,ENSG00000198121,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,1902,Q92633,LPAR1,0.34390965469809154,LPAR1,ENSG00000198121,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
2261,P22607,FGFR3,NA,FGFR3,ENSG00000068078,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,2261,P22607,FGFR3,NA,FGFR3,ENSG00000068078,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
249,P05186,ALPL,0.3882057173657659,ALPL,ENSG00000162551,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,249,P05186,ALPL,0.26461546477869363,ALPL,ENSG00000162551,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
2702,P36382,GJA5,NA,GJA5,ENSG00000265107,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,2702,P36382,GJA5,NA,GJA5,ENSG00000265107,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
28514,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,28514,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
3672,P56199,ITGA1,0.5059874226012453,ITGA1,ENSG00000213949,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,3672,P56199,ITGA1,0.4524874052830896,ITGA1,ENSG00000213949,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
3714,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,3714,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
4256,P08493,MGP,0.4324882557705064,MGP,ENSG00000111341,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,4256,P08493,MGP,0.1936413080904921,MGP,ENSG00000111341,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
4851,P46531,NOTCH1,0.3866877709993388,NOTCH1,ENSG00000148400,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,4851,P46531,NOTCH1,0.46081196289035875,NOTCH1,ENSG00000148400,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
5327,P00750,PLAT,NA,PLAT,ENSG00000104368,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,5327,P00750,PLAT,NA,PLAT,ENSG00000104368,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
54567,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,54567,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
55553,P35712,SOX6,NA,SOX6,ENSG00000110693,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,55553,P35712,SOX6,NA,SOX6,ENSG00000110693,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
6303,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,6303,NA,NA,NA,NA,NA,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
7422,P15692,VEGFA,NA,VEGFA,ENSG00000112715,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,7422,P15692,VEGFA,NA,VEGFA,ENSG00000112715,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
813,O43852,CALU,0.3275872921980138,CALU,ENSG00000128595,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413,Homo sapiens,813,O43852,CALU,0.23808196411571994,CALU,ENSG00000128595,NOTCH1 regulation of endothelial cell calcification,WikiPathways_20210910,WP3413
