ENTREZID,Uniprot.ID,Gene.name,kidney,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,kidney.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
10599,Q9Y6L6,SLCO1B1,NA,SLCO1B1,ENSG00000134538,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,10599,Q9Y6L6,SLCO1B1,NA,SLCO1B1,ENSG00000134538,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
1244,Q92887,ABCC2,0.3928417284293909,ABCC2,ENSG00000023839,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,1244,Q92887,ABCC2,0.3216856228729754,ABCC2,ENSG00000023839,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
1558,P10632,CYP2C8,0.08169668722846285,CYP2C8,ENSG00000138115,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,1558,P10632,CYP2C8,0.08960767491932005,CYP2C8,ENSG00000138115,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
1565,P10635,CYP2D6,0.11216125521835213,CYP2D6,ENSG00000100197,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,1565,P10635,CYP2D6,0.08119565543003691,CYP2D6,ENSG00000100197,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
1576,P08684,CYP3A4,0.0453920185263948,CYP3A4,ENSG00000160868,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,1576,P08684,CYP3A4,0.04706981804991554,CYP3A4,ENSG00000160868,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
5243,P08183,ABCB1,0.44866540683779055,ABCB1,ENSG00000085563,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,5243,P08183,ABCB1,0.5139811857202518,ABCB1,ENSG00000085563,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54575,NA,NA,NA,NA,NA,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54575,NA,NA,NA,NA,NA,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54576,NA,NA,NA,NA,NA,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54576,NA,NA,NA,NA,NA,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54578,P19224,UGT1A6,0.3904051564800809,UGT1A6,ENSG00000167165,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54578,P19224,UGT1A6,0.3263897670272385,UGT1A6,ENSG00000167165,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54600,O60656,UGT1A9,0.46231430225706666,UGT1A9,ENSG00000241119,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54600,O60656,UGT1A9,0.43504764133996454,UGT1A9,ENSG00000241119,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54658,P22309,UGT1A1,0.050425251178941595,UGT1A1,ENSG00000241635,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54658,P22309,UGT1A1,0.061631017417314374,UGT1A1,ENSG00000241635,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
54659,P35503,UGT1A3,NA,UGT1A3,ENSG00000243135,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,54659,P35503,UGT1A3,NA,UGT1A3,ENSG00000243135,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
7363,P06133,UGT2B4,0.03975051149961122,UGT2B4,ENSG00000156096,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,7363,P06133,UGT2B4,0.040789657124483236,UGT2B4,ENSG00000156096,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
7364,P16662,UGT2B7,0.4088383045319629,UGT2B7,ENSG00000171234,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,7364,P16662,UGT2B7,0.4275373563059345,UGT2B7,ENSG00000171234,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
8714,O15438,ABCC3,0.326751399018005,ABCC3,ENSG00000108846,Codeine and morphine metabolism,WikiPathways_20210910,WP1604,Homo sapiens,8714,O15438,ABCC3,0.21203332323193252,ABCC3,ENSG00000108846,Codeine and morphine metabolism,WikiPathways_20210910,WP1604
